assetId,assetName,assetNumber,purchaseDate,purchasePrice,assetStatus,serialNumber,description,assetTypeId
asset-028,Forklift - Propane,FA-00028,2022-08-06,1432860.88,Registered,SN-2711D1D06B,Capital asset (Machinery & Production Equipment) acquired for Redwood manufacturing operations.,atype-001
asset-029,Hydraulic Press,FA-00029,2024-10-09,682696.72,Draft,SN-FE5407376C,Capital asset (Forklifts & Material Handling) acquired for Redwood manufacturing operations.,atype-003
asset-030,Robotic Welding Cell,FA-00030,2022-05-23,920714.88,Draft,SN-675D3EC0FA,Capital asset (Forklifts & Material Handling) acquired for Redwood manufacturing operations.,atype-003
asset-031,Industrial Router,FA-00031,2023-01-10,9084.57,Registered,SN-E9725642B5,Capital asset (IT Hardware & Network Equipment) acquired for Redwood manufacturing operations.,atype-002
asset-032,Dust Collection System,FA-00032,2023-04-24,4546.02,Draft,SN-44DB2C3B85,Capital asset (IT Hardware & Network Equipment) acquired for Redwood manufacturing operations.,atype-002
asset-033,Server Rack,FA-00033,2021-09-24,800171.41,Registered,SN-4B01F9E737,Capital asset (Forklifts & Material Handling) acquired for Redwood manufacturing operations.,atype-003
asset-034,Forklift - Electric,FA-00034,2024-10-18,32847.28,Registered,SN-34C82E920F,Capital asset (IT Hardware & Network Equipment) acquired for Redwood manufacturing operations.,atype-002
asset-035,Quality Inspection CMM,FA-00035,2023-03-20,1037080.98,Registered,SN-928CFB84AC,Capital asset (Forklifts & Material Handling) acquired for Redwood manufacturing operations.,atype-003
asset-036,Engineering Workstation,FA-00036,2023-05-18,1216665.63,Registered,SN-7D5A0D07CD,Capital asset (Machinery & Production Equipment) acquired for Redwood manufacturing operations.,atype-001
asset-037,Laser Cutter,FA-00037,2023-05-04,282553.70,Registered,SN-2C3ACB3D99,Capital asset (Forklifts & Material Handling) acquired for Redwood manufacturing operations.,atype-003
asset-038,Hydraulic Press,FA-00038,2023-09-20,256895.60,Registered,SN-EC8D5C2022,Capital asset (Machinery & Production Equipment) acquired for Redwood manufacturing operations.,atype-001
asset-039,Robotic Welding Cell,FA-00039,2023-11-18,237469.74,Registered,SN-CCB4522713,Capital asset (Forklifts & Material Handling) acquired for Redwood manufacturing operations.,atype-003
asset-040,Forklift - Electric,FA-00040,2023-07-22,1315241.16,Registered,SN-AFA7C31B4A,Capital asset (Forklifts & Material Handling) acquired for Redwood manufacturing operations.,atype-003
asset-041,Air Compressor,FA-00041,2023-01-27,7589.61,Registered,SN-F3A1F8D5FE,Capital asset (IT Hardware & Network Equipment) acquired for Redwood manufacturing operations.,atype-002
asset-042,Assembly Line Conveyor,FA-00042,2023-04-17,21083.72,Draft,SN-8BBA0E8767,Capital asset (IT Hardware & Network Equipment) acquired for Redwood manufacturing operations.,atype-002
asset-043,Assembly Line Conveyor,FA-00043,2021-03-24,7534.53,Registered,SN-6E0E16B056,Capital asset (IT Hardware & Network Equipment) acquired for Redwood manufacturing operations.,atype-002
asset-044,Packaging Line,FA-00044,2023-02-06,27342.79,Registered,SN-43C3C7CB46,Capital asset (IT Hardware & Network Equipment) acquired for Redwood manufacturing operations.,atype-002
asset-045,CNC Milling Center,FA-00045,2021-10-20,1046205.58,Draft,SN-58E2DD6AF5,Capital asset (Forklifts & Material Handling) acquired for Redwood manufacturing operations.,atype-003
